Código,Ítem (enunciado)
U1,La interfaz del sistema es clara y fácil de entender.
U2,Encuentro consistencia en los botones y menús del software.
U3,El sistema facilita recordar cómo usarlo sin necesidad de consultar el manual.
U4,"El sistema permite realizar tareas de manera eficiente (ventas, control de stock)."
U5,Estoy satisfecho/a con la usabilidad general del sistema.
F1,"El sistema previene errores (por ejemplo, no permite stock negativo)."
F2,Los mensajes de error son comprensibles y útiles para recuperarme de fallos.
F3,El registro de ventas e inventario funciona correctamente sin pérdidas de datos.
I1,Los sensores IoT reportan el stock de manera confiable.
I2,La integración entre los sensores IoT y el software es automática y estable.
P1,El sistema responde rápidamente al registrar ventas o actualizar inventario.
P2,El tiempo de actualización del stock después de una transacción es aceptable.
V1,El diseño visual del sistema es atractivo y agradable.
V2,La interfaz presenta información sin sobrecarga (minimalista).
